,Unnamed: 0,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,trial,mean seed size,number of seeds,trial_id,initial_coverage
0,4077.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.370490,2022-04-29 23:45:45.693442,45000.0,7835.0,,,0.0,,,,,
1,4075.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.339273,2022-04-29 23:45:45.693442,45000.0,8568.0,,,0.0,,,,,
2,4068.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.177524,2022-04-29 23:45:45.693442,45000.0,7858.0,,,0.0,,,,,
3,4009.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.022137,2022-04-29 23:45:45.693442,45000.0,8744.0,,,0.0,,,,,
4,4070.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.236125,2022-04-29 23:45:45.693442,45000.0,7909.0,,,0.0,,,,,
5,4074.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.192991,2022-04-29 23:45:45.693442,45000.0,7981.0,,,0.0,,,,,
6,4059.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.188447,2022-04-29 23:45:45.693442,45000.0,8677.0,,,0.0,,,,,
7,4046.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.273972,2022-04-29 23:45:45.693442,45000.0,8661.0,,,0.0,,,,,
8,4065.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.301902,2022-04-29 23:45:45.693442,45000.0,7821.0,,,0.0,,,,,
9,4064.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.243543,2022-04-29 23:45:45.693442,45000.0,7914.0,,,0.0,,,,,
10,4063.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.101598,2022-04-29 23:45:45.693442,45000.0,8003.0,,,0.0,,,,,
11,4062.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.300140,2022-04-29 23:45:45.693442,45000.0,8370.0,,,0.0,,,,,
12,4067.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.240722,2022-04-29 23:45:45.693442,45000.0,8461.0,,,0.0,,,,,
13,4071.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.137885,2022-04-29 23:45:45.693442,45000.0,8565.0,,,0.0,,,,,
14,4054.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.567159,2022-04-29 23:45:45.693442,45000.0,7978.0,,,0.0,,,,,
15,4040.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.259249,2022-04-29 23:45:45.693442,45000.0,7915.0,,,0.0,,,,,
16,4078.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.108082,2022-04-29 23:45:45.693442,45000.0,8501.0,,,0.0,,,,,
17,4072.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.344815,2022-04-29 23:45:45.693442,45000.0,8558.0,,,0.0,,,,,
18,4027.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.010177,2022-04-29 23:45:45.693442,45000.0,8594.0,,,0.0,,,,,
19,4061.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.421397,2022-04-29 23:45:45.693442,45000.0,7782.0,,,0.0,,,,,
20,4045.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.407606,2022-04-29 23:45:45.693442,45000.0,7855.0,,,0.0,,,,,
21,4076.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.191721,2022-04-29 23:45:45.693442,45000.0,7849.0,,,0.0,,,,,
22,4060.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.496482,2022-04-29 23:45:45.693442,45000.0,8552.0,,,0.0,,,,,
23,4039.0,b144c888823a362cbd38f29f6b50511602990c96,/home/dylan/scratch/experiment-data,initial-cov-80,afl,bloaty_fuzz_target,2022-04-29 10:55:35.279885,2022-04-29 23:45:45.693442,45000.0,8569.0,,,0.0,,,,,
