"fuzzer","property","estimate","lower","upper"
"afl","#Seeds",-0.00678448315469401,-0.0214840252628641,0.0111894744843467
"afl","Initial Coverage",-0.0120355731225297,-0.0198251387318087,-0.00286362530925664
"afl","Mean Exec Time",-0.00294466403162061,-0.0101114115322543,0.00799740091605272
"afl","Mean Seed Size",-0.00634387351778661,-0.0120320765168449,0.000610341251097276
"aflplusplus","#Seeds",0.00185573299984383,-0.0182914181011508,0.0291945956582473
"aflplusplus","Initial Coverage",-0.00604743083003955,-0.015522369266596,0.00418616634938345
"aflplusplus","Mean Exec Time",-0.0141897233201581,-0.0263658867957345,0.00111688725632585
"aflplusplus","Mean Seed Size",-0.00667984189723322,-0.0169157374435832,0.00360043210354774
"entropic","#Seeds",-0.00301556746829567,-0.015565893966682,0.0138517913784637
"entropic","Initial Coverage",-0.00474308300395261,-0.0141455246656722,0.00512038468080871
"entropic","Mean Exec Time",0.00430830039525688,-0.00918893631080785,0.0115300682401218
"entropic","Mean Seed Size",0.00193675889328061,-0.00627880627065556,0.0119048277920549
"libfuzzer","#Seeds",0.00794431762314592,-0.0296239963541,0.028654159917285
"libfuzzer","Initial Coverage",0.0181620553359684,0.00897381822137784,0.0306606944850506
"libfuzzer","Mean Exec Time",0.0128260869565217,-0.00176086806043475,0.0274513150968131
"libfuzzer","Mean Seed Size",0.0110869565217391,0.00295723011623059,0.023362868936548
